rowNumber,stationId,Location,Address
1,1101010,Point(141.3532777 43.06225480000001),札幌市中央区北１西２
2,1101020,Point(141.3252375 43.0396273),札幌市中央区南２３西１３
3,1101520,Point(141.3532777 43.06225480000001),札幌市中央区北１西２
4,1101540,Point(141.3445286 43.0409769),札幌市中央区南１４条西１０丁目
5,1102010,Point(141.3711567 43.1453261),札幌市北区篠路４－９
6,1102020,Point(141.3331053 43.0820313),札幌市北区北19条西12丁目
7,1102510,Point(141.3483898 43.0843826),札幌市北区北１９西２
8,1103010,Point(141.3587536 43.0839536),札幌市東区北１８東５
9,1103520,Point(141.3741522 43.1037853),札幌市東区北３３東１８
10,1104030,Point(141.4156654 43.0691627),札幌市白石区菊水元町８－３
11,1105010,Point(141.4269315 43.0228762),札幌市豊平区月寒東４－１８
12,1105520,Point(141.396111 43.03045300000001),札幌市豊平区月寒中央通７丁目
13,1106050,Point(141.3548381 42.9626928),札幌市南区真駒内602
14,1107020,Point(141.2890968 43.0877638),札幌市西区発寒５－７
15,1107030,Point(141.2459108 43.124975),札幌市手稲区前田２－１２
16,1108010,Point(141.4630875 43.04212950000001),札幌市厚別区厚別中央４－３
17,1110010,Point(141.4435827 42.99926180000001),札幌市清田区平岡1条1丁目2
18,1202080,Point(140.7468006 41.8188869),函館市美原3-30-3
19,1202100,Point(140.7365488 41.77803979999999),函館市新川町30-26
20,1202110,Point(140.7302196 41.7958914),函館市吉川町6-22
21,1202560,Point(140.7468006 41.8188869),函館市美原３－３０－３
22,1202570,Point(140.76832 41.7830756),函館市駒場町1-6
23,1203090,Point(141.1564479 43.139733),小樽市見晴町3-26
24,1203100,Point(141.0219079 43.1816823),小樽市勝納町10-1
25,1203110,Point(140.9369767 43.2105522),小樽市塩谷2-10-5
26,1203520,Point(140.9946841 43.1969095),小樽市稲穂2-22-8
27,1204010,Point(142.3645743 43.7702998),旭川市６条通９丁目
28,1204011,Point(142.3645743 43.7702998),旭川市６条通９丁目
29,1204050,Point(142.3294024 43.7940457),旭川市錦町２１丁目
30,1204150,Point(142.3964685 43.7482619),旭川市東光８条３丁目
31,1204160,Point(142.4360185 43.8107633),旭川市永山３条１９丁目
32,1205020,Point(140.9984815 42.3223606),室蘭市御前水町2－2
33,1205060,Point(140.9418307 42.3783205),室蘭市白鳥台5－35
34,1205310,Point(141.0170784 42.33715369999999),室蘭市輪西町3－2－33
35,1205320,Point(141.0334107 42.347823),室蘭市寿町1－9
36,1205540,Point(141.0241673 42.34025),室蘭市東町4－29
37,1205550,Point(140.951444 42.36597709999999),室蘭市陣屋町3－4
38,1206280,Point(144.2606979 43.0173372),釧路市大楽毛西2-32
39,1206290,Point(144.3636328 43.0214076),釧路市昭和中央3丁目12番2号
40,1207090,Point(143.1960911 42.9239722),帯広市西５条南７丁目１番地
41,1208510,Point(143.8907183 43.7987008),北見市常磐町2-1-8
42,1213020,Point(141.6071581 42.6503481),苫小牧市双葉町３－２３
43,1213050,Point(141.6309688 42.6576551),苫小牧市明野新町３－２
44,1213070,Point(141.7239436 42.628815),苫小牧市字勇払２７－２３
45,1213220,Point(141.6892571 42.6698527),苫小牧市沼ノ端中央５－４
46,1213510,Point(141.5414423 42.627265),苫小牧市しらかば町5丁目21番地
47,1213610,Point(141.6055597 42.6340373),苫小牧市旭町4-5-6
48,1224010,Point(141.6722923 42.8299585),千歳市日の出２－２０５５－１
49,1224020,Point(141.6430061 42.8395695),千歳市富丘４－１３
50,1224050,Point(141.7340661 42.7975721),千歳市駒里２２３１－２
51,1224060,Point(141.5998683 42.7896547),千歳市若草４－１３
52,1224510,Point(141.6559533 42.8240893),千歳市東雲町５－１３
53,1226010,Point(141.9187227 43.50902929999999),砂川市焼山60-2
54,1302010,Point(141.2835762 43.1581633),石狩市樽川500-33
55,1335030,Point(140.6956611 41.83442470000001),北斗市追分1-36-16
56,1424010,Point(141.8791082 43.4252332),空知郡奈井江町字奈井江147
57,1518950,Point(141.2269035 45.1530013),利尻郡利尻町仙法志神磯193
58,1578010,Point(141.3559622 42.5505664),白老郡白老町大町１－６
59,1578030,Point(141.2906905 42.5096181),白老郡白老町字北吉原８６
60,1579020,Point(141.7733971 42.73334),勇払郡安平町遠浅７５１－１
61,1579030,Point(141.8055239 42.76268890000001),勇払郡安平町早来北町１２－２
62,1581010,Point(141.8850671 42.7212216),勇払郡厚真町新町１２７－１０
63,1581020,Point(141.8491359 42.6461029),勇払郡厚真町字上厚真１８－１
64,1582020,Point(141.8976741 42.6011207),勇払郡むかわ町田浦２０９－１
65,1582030,Point(141.925667 42.5790773),勇払郡むかわ町福住２丁目１８０番地
66,2201070,Point(140.761095 40.8192369),青森市松原２－４－４
67,2201080,Point(140.7341438 40.8140302),青森市金沢１－６－１
68,2201090,Point(140.6748354 40.8258545),青森市新城平岡１４１－１
69,2201520,Point(140.7528079 40.8243069),青森市橋本１丁目９－１７
70,2202060,Point(140.4771848 40.6085258),弘前市和徳町３６３－１３
71,2202510,Point(140.4396435 40.5942053),弘前市中野１－１－１
72,2203050,Point(141.4711699 40.5322634),八戸市河原木根岸１－２
73,2203220,Point(141.4471351 40.56001),八戸市市川町尻引前山３１－２
74,2203240,Point(141.4806243 40.5163489),八戸市売市小待１５０
75,2203260,Point(141.5221467 40.5275241),八戸市大字湊町字舘鼻６７
76,2203510,Point(141.4901961 40.5079413),八戸市六日町１０
77,2204010,Point(140.5941222 40.6505456),黒石市ぐみの木３－６５
78,2205010,Point(140.4634634 40.7818583),五所川原市広田藤浦１０５－１
79,2206030,Point(141.2031855 40.6089347),十和田市西十三番町５－２４
80,2207020,Point(141.3763288 40.6940313),三沢市岡三沢七丁目１６－１
81,2208030,Point(141.2092613 41.28404949999999),むつ市金曲一丁目５－１０
82,2307950,Point(140.368568 41.2412816),東津軽郡外ヶ浜町三厩宇鉄山国有林84林班り2小班
83,2321010,Point(140.2381031 40.78269179999999),西津軽郡鰺ヶ沢町大字舞戸町字鳴戸３８４－３７
84,2364510,Point(140.5898472 40.7570732),青森市浪岡大字大釈迦前田５－２
85,2411010,Point(141.3593692 40.97637659999999),上北郡六ヶ所村大字尾駮字野附４８３
86,3201070,Point(141.1453408 39.6637187),盛岡市津志田１４－３７－２
87,3201550,Point(141.13815 39.7203557),盛岡市上田４－１－１
88,3202050,Point(141.9498839 39.6442869),宮古市横町 ５－１
89,3203090,Point(141.7045921 39.0952669),大船渡市猪川町字前田 ６－１
90,3204010,Point(141.1401285 39.1440371),奥州市水沢区大手町５－５
91,3205010,Point(141.1158996 39.3900124),花巻市花城町１－４１
92,3206010,Point(141.1108537 39.2872222),北上市芳町２－８
93,3207010,Point(141.7627117 40.1916885),久慈市八日町１－１
94,3209010,Point(141.1272191 38.9358415),一関市竹山町７－５
95,3209510,Point(141.1186394 38.9324055),一関市山目字三反田１５２－１
96,3211070,Point(141.8454254 39.2658381),釜石市釜石市新町６－５０
97,3213020,Point(141.2958978 40.2688046),二戸市石切所字荷渡６－３
